MOLECULE_NAME,y_true,y_pred,residual,std_residual,leverage
108-86-1,2.99,3.3885384,-0.398538361,-0.695248291,0.045377575
108-87-2,3.61,3.7645035,-0.154503479,-0.269530591,0.102625785
108-88-3,2.72,2.7324235,-0.012423544,-0.021672814,0.048827396
108-89-4,1.21,1.3463652,-0.136365213,-0.237888472,0.215042086
108-90-7,2.62,2.3658936,0.254106398,0.443287413,0.039231734
108-91-8,1.46,1.967653,-0.507653036,-0.885598328,0.168508274
108-93-0,1.22,1.1941178,0.025882215,0.045151403,0.148214331
108-94-1,0.81,1.9141674,-1.104167404,-1.92621483,0.309299009
108-95-2,1.46,1.8406116,-0.380611577,-0.663975102,0.206563716
108-98-5,2.52,2.951701,-0.431700926,-0.75310023,0.072771744
108-99-6,1.2,1.0105996,0.189400387,0.330408082,0.184754783
1082-88-8,1.21,0.9838882,0.226111791,0.394450953,0.401617513
109-21-7,2.16,2.4062743,-0.246274319,-0.429624388,0.092841554
109-52-4,1.39,0.97547615,0.414523854,0.723134909,0.095051803
109-60-4,1.24,1.1761394,0.063860645,0.111404595,0.163469614
109-64-8,2.37,1.5605277,0.809472318,1.412120641,0.182160001
109-65-9,2.75,2.4076624,0.342337608,0.597206344,0.083248593
109-66-0,3.39,3.0635872,0.326412811,0.56942561,0.095813285
109-69-3,2.605,2.1287582,0.476241808,0.830801588,0.060553774
109-70-6,2.18,1.2942748,0.885725193,1.545143423,0.097135246
109-73-9,0.943,0.9185308,0.024469178,0.042686366,0.080386253
109-76-2,-1.43,-0.92829883,-0.501701169,-0.875215324,0.179194518
109-79-5,2.28,1.7046875,0.575312524,1.003629985,0.06852811
109-86-4,-0.681,-0.8137614,0.132761413,0.231601659,0.153454453
109-87-5,0.09,0.36130726,-0.271307263,-0.473294242,0.342270924
109-89-7,0.58,0.99718416,-0.417184157,-0.727775795,0.258105129
109-92-2,1.04,0.32750472,0.712495276,1.242944649,0.346158891
109-94-4,0.23,0.56650066,-0.336500664,-0.587023821,0.134330514
109-97-7,0.75,0.34342837,0.406571627,0.709262286,0.417839604
109-99-9,0.46,0.7628499,-0.302849927,-0.52832027,0.169818892
110-00-9,1.34,1.445346,-0.105345998,-0.183775596,0.199187763
110-01-0,1.8,0.70707333,1.092926669,1.906605421,0.237650958
110-02-1,1.81,2.4202487,-0.610248747,-1.064576062,0.055860164
110-03-2,0.21,1.3832128,-1.173212805,-2.046664206,0.226631422
110-12-3,1.827,2.1555,-0.328499935,-0.573066588,0.207981132
110-15-6,-0.59,-0.5123556,-0.077644374,-0.135450245,0.2845542
110-16-7,-0.485,0.30502653,-0.790026531,-1.378197559,0.230449289
110-17-8,0.46,0.30502653,0.154973469,0.270350486,0.230449289
110-19-0,1.72,1.3231444,0.396855564,0.69231266,0.106008741
110-27-0,7.71,7.2524977,0.457502327,0.798110652,0.131818598
110-42-9,4.41,4.4579296,-0.047929611,-0.083612981,0.048714301
110-43-0,1.98,2.1984954,-0.218495388,-0.381164174,0.141910658
110-49-6,0.121,-0.39265314,0.513653137,0.896065476,0.090243189
110-52-1,2.981,1.9200444,1.060955578,1.850832003,0.211980358
110-54-3,3.9,3.7267623,0.173237705,0.30221236,0.066761787
110-58-7,1.49,1.9440163,-0.454016337,-0.79202936,0.078114973
110-59-8,1.12,2.0634484,-0.943448429,-1.645841336,0.059150642
110-60-1,-1.607,-0.4669138,-1.14008621,-1.988875019,0.149547491
110-62-3,1.38,1.0558238,0.324176197,0.565523847,0.1349352
110-63-4,-0.83,-0.36962938,-0.460370617,-0.80311437,0.194782998
110-65-6,-0.73,-0.1354686,-0.594531398,-1.03715722,0.652251103
110-71-4,-0.21,-0.10940904,-0.100590958,-0.175480452,0.444249822
110-80-5,-0.375,-0.5587022,0.183702171,0.320467571,0.085548761
110-81-6,3,2.2437444,0.756255627,1.319284375,0.140113588
110-82-7,3.427,3.54789,-0.120889948,-0.210891944,0.176887989
110-83-8,2.86,2.7962215,0.063778505,0.111261302,0.278326734
110-86-1,0.65,1.0499027,-0.399902678,-0.697628335,0.235645811
110-89-4,0.84,0.7313493,0.108650711,0.189540652,0.259327378
110-91-8,-0.86,-0.32627735,-0.533722655,-0.931076654,0.27208361
110-93-0,2.07,2.196023,-0.126022987,-0.219846507,0.203816012
110-96-3,2.63,2.6015778,0.028422241,0.049582466,0.298685115
111-01-3,5.49,5.644992,-0.154991875,-0.270382595,0.737971747
111-11-5,3.32,3.9328935,-0.612893515,-1.069189846,0.049374106
111-13-7,2.37,2.781549,-0.411548977,-0.71794525,0.136639944
111-14-8,2.42,2.7560163,-0.336016254,-0.586178771,0.069752585
111-15-9,0.24,-0.06449439,0.304494386,0.531189021,0.116059017
111-26-2,1.88,2.6826782,-0.802678223,-1.400268375,0.088792728
111-27-3,2.03,2.4780416,-0.448041649,-0.781606544,0.043741577
111-29-5,-0.49,0.35995325,-0.849953254,-1.482739445,0.182716262
111-30-8,-0.36,0.3466366,-0.706636593,-1.232724205,0.481650487
111-31-9,5.35,4.0612893,1.28871069,2.248149721,0.035895541
111-34-2,3.025,2.353732,0.671267891,1.171023671,0.334368127
111-42-2,0,-0.8879006,0.887900591,1.548938394,0.246514253
111-43-3,2.03,2.2135694,-0.183569403,-0.320235957,0.260148762
111-44-4,1.29,0.19434755,1.095652454,1.911360541,0.157469762
111-47-7,2.84,2.8558102,-0.015810165,-0.027580759,0.158705047
111-55-7,0.24,0.041816656,0.198183344,0.34572991,0.251323037
111-65-9,4.787,4.4477997,0.339200317,0.591733354,0.059443163
111-66-0,4.213,4.3673325,-0.154332458,-0.269232246,0.061594093
111-70-6,2.62,2.7658598,-0.145859842,-0.254451807,0.041435461
111-71-7,2.8,2.5377781,0.262221861,0.4574448,0.207837269
111-76-2,0.83,0.3981527,0.431847291,0.753355563,0.099090364
111-82-0,5.41,5.713593,-0.303593006,-0.529616568,0.045170314
111-84-2,5.65,4.9195065,0.73049345,1.274342379,0.053586833
111-85-3,4.73,4.431506,0.298493843,0.520721102,0.04706778
111-87-5,3,3.4872549,-0.487254858,-0.850013802,0.046080363
111-88-6,4.21,5.0045524,-0.794552364,-1.386092853,0.033352918
111-90-0,-0.345,-0.7678194,0.422819405,0.737606458,0.137026762
111-92-2,2.83,2.8806322,-0.050632162,-0.088327568,0.270751341
1117-86-8,2.1,1.8837372,0.216262794,0.377269424,0.076616826
1118-84-9,1.4,0.66506803,0.73493197,1.282085356,0.280585533
1119-86-4,1.99,2.2412941,-0.251294146,-0.438381452,0.089552602
112-05-0,3.42,3.57318,-0.15317996,-0.267221718,0.077290435
112-07-2,1.51,1.6411982,-0.131198158,-0.228874568,0.120684985
112-12-9,4.09,4.347626,-0.257626209,-0.449427707,0.132005615
112-27-6,-1.61,-1.0485111,-0.561488853,-0.979514656,0.303665272
112-30-1,4.457,4.8069015,-0.349901455,-0.610401438,0.033544103
112-36-7,0.39,0.51761174,-0.127611742,-0.222618082,0.289516883
112-39-0,7.38,7.486672,-0.106671925,-0.186088669,0.055665038
112-40-3,6.1,6.162646,-0.062645817,-0.109285332,0.044809191
112-41-4,6.1,6.5845923,-0.484592342,-0.845369056,0.054679889
112-42-5,4.76,4.951299,-0.191299191,-0.333720536,0.031778192
112-44-7,3.84,4.24738,-0.40737978,-0.710672105,0.212920082
112-49-2,-0.48,-0.9397794,0.459779401,0.802082997,0.250032423
112-55-0,6.35,6.3160243,0.033975697,0.059270442,0.042242007
112-57-2,-0.829,-0.54760665,-0.281393353,-0.490889377,0.602953188
112-61-8,8.35,8.084012,0.265987968,0.464014757,0.069703748
112-70-9,5.665,6.0603566,-0.395356617,-0.689697754,0.032642044
112-72-1,6.03,6.2274666,-0.197466583,-0.344479523,0.035271807
112-88-9,8,7.871255,0.128745079,0.224595183,0.083890584
112-92-5,7.295,7.311942,-0.016942101,-0.029555414,0.060443108
1120-36-1,7.08,7.0149636,0.065036373,0.113455646,0.058555888
1120-71-4,-0.28,0.7416656,-1.021665602,-1.782290825,0.164737275
1122-91-4,2.75,3.3115952,-0.561595201,-0.979700181,0.231249142
1125-21-9,1.12,1.1989269,-0.078926926,-0.13768765,0.411069806
1126-79-0,4.26,3.8274086,0.432591448,0.754653741,0.145788639
113-18-8,1.8,1.5633191,0.236680913,0.412888737,0.999217527
1132-61-2,-2.94,-2.6394677,-0.300532284,-0.524277152,0.718949404
1135-40-6,0.3,-0.09041208,0.39041208,0.681072033,0.201427807
114-86-3,-0.52,0.11424292,-0.634242919,-1.106433781,0.280774515
115-18-4,0.66,1.5691242,-0.909124222,-1.585962918,0.144647111
115-19-5,0.318,1.1615487,-0.843548734,-1.471566789,0.345537841
115-20-8,1.42,0.4812899,0.938710107,1.637575355,0.175350898
115-70-8,-0.123,-0.16477217,0.041772168,0.07287135,0.385723751
115-77-5,-1.69,-1.3064741,-0.38352591,-0.669059142,0.62951929
115-84-4,2.105,1.7336698,0.371330242,0.647783857,0.420109863
115-86-6,4.59,4.0020914,0.587908592,1.025603767,0.542814778
115-95-7,3.92,3.9286704,-0.008670406,-0.015125483,0.339387258
116-09-6,0.3,0.38011378,-0.08011378,-0.139758112,0.180100693
116-16-5,2.59,1.134042,1.455957975,2.539911823,0.796248056
117-08-8,3.145,2.7742405,0.370759506,0.64678821,0.256118206
117-18-0,4.38,3.3785665,1.001433496,1.746996013,0.074411053
117-79-3,3.305,2.9672084,0.337791615,0.589275879,0.35413854
117-80-6,2.865,2.6748333,0.190166702,0.331744915,0.3575097
117-81-7,6.315,6.5052686,-0.190268574,-0.33192263,0.374987843
118-61-6,2.95,3.151349,-0.201349068,-0.351252499,0.150898621
118-69-4,4.29,3.5965338,0.693466225,1.209748559,0.093880786
118-71-8,0.09,0.28989884,-0.199898843,-0.348722588,0.297186691
118-74-1,5.653,3.7133236,1.939676407,3.383756346,0.140303007
118-75-2,2.3,1.2526922,1.047307777,1.827023479,0.287337204
118-79-6,4.13,3.457651,0.6723491,1.172909835,0.164857126
118-90-1,2.46,2.237598,0.222402058,0.387979341,0.144408578
118-91-2,2.05,2.5913765,-0.541376543,-0.944428827,0.088575949
118-93-4,1.92,1.8302119,0.089788122,0.156634956,0.423866696
119-34-6,0.96,0.9601679,-0.000167885,-0.000292874,0.290638445
119-36-8,2.533,2.5221872,0.010812767,0.018862821,0.142871413
119-53-9,2.13,2.5783074,-0.44830739,-0.782070128,0.353179825
119-61-9,3.23,3.5068512,-0.276851196,-0.482965607,0.206253087
119-64-2,3.78,3.6619782,0.118021755,0.205888395,0.206699682
119-84-6,1.82,1.78473,0.035270042,0.061528423,0.132214193
1191-16-8,2,1.7684848,0.231515169,0.403877121,0.24938325
1193-81-3,1.6,2.0121338,-0.412133837,-0.718965535,0.14307421
1194-98-5,0.54,1.0394176,-0.499417624,-0.871231691,0.325765399
120-00-3,3.232,3.3786561,-0.146656149,-0.25584096,0.461596854
120-14-9,1.22,1.3343542,-0.114354162,-0.199490297,0.315148745
120-21-8,2.72,2.3546357,0.365364285,0.637376272,0.504743609
120-25-2,1.63,1.5607778,0.069222217,0.12075783,0.241212561
120-32-1,3.6,3.814191,-0.214191103,-0.373655369,0.177058105
120-47-8,2.47,2.0810418,0.388958187,0.678535723,0.131190194
120-51-4,3.903,3.9793346,-0.076334593,-0.133165337,0.219669773
120-57-0,1.05,1.5839123,-0.533912253,-0.931407409,0.381597451
120-61-6,2.3,2.1109416,0.189058352,0.329811403,0.25915066
120-72-9,2.14,2.4918272,-0.35182725,-0.613760978,0.999217527
120-73-0,-0.37,-0.13684323,-0.233156766,-0.406740878,0.59982058
120-80-9,0.88,2.0238364,-1.143836374,-1.995417162,0.25325315
120-82-1,4,3.5350845,0.464915514,0.811042922,0.030549834
120-83-2,3.097,2.7395513,0.357448694,0.623567562,0.153340501
120-92-3,0.38,0.82488906,-0.444889064,-0.776106874,0.617421317
1205-30-7,0.881,1.686688,-0.805687946,-1.405518823,0.158777842
121-03-9,-1.1,0.18199271,-1.28199271,-2.236430237,0.183501271
121-14-2,1.98,1.7520477,0.227952342,0.397661786,0.159255563
121-32-4,1.58,1.8767848,-0.296784801,-0.517739687,0.237313653
121-33-5,1.29,1.4274707,-0.137470684,-0.23981696,0.258723984
121-39-1,2.4,2.2007947,0.199205303,0.347512712,0.213278585
121-43-7,-0.77,0.11384485,-0.883844849,-1.541863172,0.294221851
121-44-8,1.45,1.4237542,0.026245785,0.045785648,0.361162941
121-57-3,-1.53,0.5274362,-2.057436197,-3.589187744,0.153938877
121-69-7,2.307,2.3463166,-0.039316576,-0.068587581,0.20094363
121-73-3,2.41,1.6823249,0.727675114,1.269425805,0.083081392
121-79-9,1.8,2.0767493,-0.276749325,-0.482787892,0.252724156
121-86-8,3,2.538785,0.461215019,0.804587426,0.135516473
121-87-9,2.14,1.5176656,0.622334375,1.085659383,0.13001721
121-92-6,1.83,1.6163169,0.213683085,0.372769135,0.190470945
121-98-2,2.27,2.3606026,-0.090602617,-0.158055839,0.145987213
122-03-2,3.17,3.1239824,0.04601757,0.080277435,0.302624013
122-39-4,3.5,3.380148,0.119852066,0.209081364,0.292991596
122-48-5,0.4,0.7400989,-0.340098894,-0.593300916,0.245715722
122-63-4,2.803,2.3765697,0.426430252,0.743905564,0.212396161
122-78-1,1.78,1.6335621,0.146437912,0.255460247,0.308429494
122-79-2,1.49,2.5464838,-1.056483755,-1.843030929,0.08832244
122-84-9,1.9,1.9154611,-0.015461063,-0.026971752,0.313403433
122-97-4,1.88,2.344355,-0.464355106,-0.810065294,0.11821925
122-99-6,1.16,1.6180007,-0.458000746,-0.798980141,0.156295711
12270-13-2,-1.6,-1.1144569,-0.485543108,-0.847027662,0.482670421
123-01-3,8.26,8.351924,-0.091923943,-0.160360884,0.069252195
123-02-4,9.36,8.532241,0.827759132,1.444021903,0.071676296
123-05-7,3.335,3.522565,-0.187564888,-0.327206063,0.387636201
123-07-9,2.58,2.5653102,0.01468976,0.025626217,0.134739343
123-08-0,1.35,2.1222744,-0.772274399,-1.347229047,0.290606832
123-11-5,1.76,1.6264949,0.133505116,0.232899045,0.20750682
123-15-9,1.8,1.9606631,-0.16066308,-0.280275986,0.413612945
123-19-3,2.04,1.9250122,0.114987769,0.200595621,0.390741453
123-25-1,1.2,1.8636963,-0.663696337,-1.15781513,0.219357059
123-30-8,0.04,-0.029895317,0.069895317,0.121932051,0.305879238
123-31-9,0.59,0.8865949,-0.296594892,-0.51740839,0.23343981
123-35-3,4.25,4.5256653,-0.275665283,-0.480896787,0.205487309
123-38-6,0.59,0.7601808,-0.170180771,-0.296879553,0.999217527
123-39-7,-0.97,-0.2978682,-0.672131808,-1.17253077,0.112784335
123-42-2,-0.14,-0.11056923,-0.029430769,-0.051341837,0.406008063
123-51-3,1.2,1.7202688,-0.520268846,-0.907606548,0.098199774
123-54-6,0.4,0.74220365,-0.342203653,-0.596972659,0.515016947
123-66-0,2.96,3.3326817,-0.372681656,-0.650141391,0.066410757
123-72-8,0.88,1.2516088,-0.371608849,-0.648269884,0.197139659
123-76-2,-0.49,-0.97476685,0.48476685,0.845673485,0.210726163
123-86-4,1.793,1.7448417,0.048158305,0.084011936,0.078244098
123-91-1,-0.27,0.41905788,-0.689057876,-1.202058215,0.462893679
123-92-2,2.21,1.8192786,0.390721402,0.681611644,0.122333807
123-96-6,2.84,3.1986585,-0.358658466,-0.625678003,0.081138706
124-02-7,1.11,0.8056779,0.304322109,0.530888485,0.489309716
124-04-9,0.08,0.5721452,-0.492145224,-0.858545022,0.290163831
124-07-2,3.05,3.3517735,-0.3017735,-0.526442449,0.067597965
124-10-7,6.41,6.5287604,-0.118760433,-0.207177016,0.047487226
124-11-8,5.15,5.427605,-0.277605152,-0.484280879,0.05502813
124-17-4,2.9,1.8508942,1.049105787,1.830160099,0.17471717
124-18-5,5.333,5.6848936,-0.351893608,-0.61387674,0.049195727
124-48-1,2.16,1.2414418,0.918558154,1.602420369,0.028224199
124-68-5,-0.63,0.06448596,-0.69448596,-1.211527482,0.209749104
124-76-5,3.24,3.024133,0.215867033,0.376579021,0.204459835
125-20-2,3.682,3.6774614,0.004538614,0.007917591,0.528024982
125-29-1,1.2,0.8989912,0.301008773,0.525108385,0.32985962
126-11-4,1.06,0.6651932,0.3948068,0.688738601,0.416192712
126-30-7,0.12,0.56265086,-0.442650859,-0.772202337,0.249237965
126-33-0,-0.77,0.15628366,-0.926283662,-1.61589748,0.352594406
126-52-3,1.2,1.4017407,-0.20174067,-0.351935648,0.306116016
127-06-0,0.12,0.36511618,-0.245116179,-0.427604018,0.220227783
127-07-1,-1.733,-0.6746829,-1.058317085,-1.846229164,0.123205333
127-17-3,-0.5,-0.02354656,-0.47645344,-0.83117078,0.258700195
127-18-4,3.4,1.3771839,2.022816086,3.528793124,0.046084041
127-19-5,-0.77,-0.0509078,-0.719092198,-1.254452949,0.320404313
128-37-0,5.1,5.1239686,-0.023968601,-0.041813112,0.125032188
128-39-2,4.71,4.873228,-0.163228073,-0.284750604,0.205454389
129-00-0,4.88,5.08833,-0.208329792,-0.36343034,0.280710942
